CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2023,12:15,QUEENS,11426,40.735764,-73.715645,"(40.735764, -73.715645)",HILLSIDE AVENUE,252 STREET,,3,0,0,0,0,0,3,0,Other Vehicular,Unspecified,,,,4639415,Sedan,Station Wagon/Sport Utility Vehicle,,,
06/20/2023,22:11,BRONX,10464,40.859245,-73.81814,"(40.859245, -73.81814)",PELHAM PARKWAY,SHORE ROAD,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4639755,Sedan,Sedan,,,
06/20/2023,8:13,BROOKLYN,11203,40.639736,-73.93012,"(40.639736, -73.93012)",FOSTER AVENUE,EAST 49 STREET,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4639785,Sedan,Sedan,,,
06/20/2023,8:30,BRONX,10472,40.82696,-73.86808,"(40.82696, -73.86808)",,,1040      ROSEDALE AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4639473,Sedan,Sedan,,,
06/20/2023,18:00,QUEENS,11372,40.747345,-73.88658,"(40.747345, -73.88658)",,,79-00     ROOSEVELT AVENUE,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,4639927,Station Wagon/Sport Utility Vehicle,Sedan,,,
06/20/2023,18:30,,,40.753788,-73.744286,"(40.753788, -73.744286)",CROSS ISLAND PARKWAY,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4639285,Sedan,Sedan,,,
06/20/2023,17:40,,,40.75904,-73.77423,"(40.75904, -73.77423)",NORTHERN BOULEVARD,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Unspecified,,,4639307,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
06/20/2023,14:28,MANHATTAN,10035,40.800255,-73.93757,"(40.800255, -73.93757)",,,216       EAST 120 STREET,1,0,1,0,0,0,0,0,Unspecified,,,,,4639689,Station Wagon/Sport Utility Vehicle,,,,
06/20/2023,22:38,QUEENS,11373,40.739597,-73.87366,"(40.739597, -73.87366)",,,90-37     51 AVENUE,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unspecified,Unspecified,,,4639373,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,
06/20/2023,7:19,,,40.763824,-73.72686,"(40.763824, -73.72686)",HORACE HARDING EXPRESSWAY,254 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4639267,Station Wagon/Sport Utility Vehicle,Bus,,,
